"zpid","county","propertyTaxRate","timeOnZillowDays","yearBuilt","annualHomeownersInsurance","monthlyHoaFee","favoriteCount","pageViewCount"
62542525,"Hartford County",2.16,138,1957,1596,NA,0,28
2054153042,"Fairfield County",1.69,138,1970,1615,550,0,4
2056914271,"Hartford County",2.16,138,1987,1617,680,1,18
57795065,"Litchfield County",1.78,139,1979,1602,NA,0,17
57397142,"Fairfield County",1.69,140,1988,1617,NA,0,8
58064324,"New London County",1.66,140,1970,1606,NA,0,6
59037259,"Hartford County",2.16,140,1998,1636,NA,0,21
60102498,"Tolland County",2.06,140,1966,1638,NA,0,8
2054587298,"Hartford County",2.16,140,1998,1636,295,0,17
58873832,"Litchfield County",1.78,141,1969,1659,NA,0,10
57704656,"Hartford County",2.16,145,1994,1596,NA,0,13
57880568,"New Haven County",2.13,145,1958,1646,NA,0,8
58043071,"New London County",1.66,145,1975,1659,NA,0,8
58093814,"Tolland County",2.06,145,1987,1609,NA,0,13
58121578,"Windham County",1.69,145,1961,1659,NA,0,6
58773618,"Fairfield County",1.69,145,1951,1617,NA,0,6
174077166,"Hartford County",2.16,145,1951,1620,NA,0,7
333887579,"Hartford County",2.16,145,2021,1638,NA,0,1
57762668,"Hartford County",2.16,146,1956,1638,NA,0,23
58002660,"New Haven County",2.13,146,1951,1638,NA,0,10
60006098,"Hartford County",2.16,146,1964,1596,NA,0,11
2067198969,"Hartford County",2.16,146,2021,1638,315,0,6
57699557,"Hartford County",2.16,147,1953,1596,NA,0,7
57946118,"New Haven County",2.13,147,1993,1617,NA,0,2
58118293,"Windham County",1.69,147,1985,1659,NA,0,21
58894240,"New Haven County",2.13,147,1971,1663,NA,0,16
59964895,"Hartford County",2.16,147,2002,1634,108,1,24
2098932909,"Hartford County",2.16,147,1982,1638,828,0,9
57253078,"Fairfield County",1.69,148,1903,1596,NA,0,12
57832425,"Litchfield County",1.78,148,1740,1638,NA,0,10
57886638,"New Haven County",2.13,148,1963,1621,NA,0,7
57913957,"New Haven County",2.13,148,1953,1596,NA,0,3
57994420,"New Haven County",2.13,148,1972,1638,719,0,2
59292382,"Hartford County",2.16,148,1961,1638,NA,0,28
114453465,"Fairfield County",1.69,148,2013,1661,275,0,4
177184445,"Fairfield County",1.69,148,1940,1617,NA,0,13
339524489,"Hartford County",2.16,148,1974,1596,NA,0,6
57273550,"Fairfield County",1.69,152,1952,1638,NA,0,12
57696350,"Hartford County",2.16,152,1982,1638,NA,0,9
58061149,"New London County",1.66,152,2019,1659,NA,0,6
58811967,"Fairfield County",1.69,152,1955,1596,NA,0,5
58906401,"New Haven County",2.13,152,1963,1638,NA,0,7
59004929,"Tolland County",2.06,152,1978,1596,NA,0,11
59010511,"Windham County",1.69,152,1993,1659,NA,0,8
59016098,"Hartford County",2.16,152,1977,1617,NA,0,10
174038140,"Hartford County",2.16,152,1955,1596,NA,0,10
174135126,"Hartford County",2.16,152,1974,1596,NA,0,26
2055186352,"Hartford County",2.16,152,2006,1659,360,0,7
2098924689,"Fairfield County",1.69,152,2013,1661,285,0,2
58081625,"New London County",1.66,153,1850,1638,NA,0,6
62546355,"New London County",1.66,153,1983,1617,NA,0,5
174198399,"Hartford County",2.16,154,1969,1642,NA,1,8
58847190,"Middlesex County",1.9,155,1740,1680,NA,1,12
58985359,"New London County",1.66,155,1965,1604,NA,0,11
174099129,"Hartford County",2.16,155,1960,1596,NA,0,35
57280866,"Fairfield County",1.69,156,1948,1617,NA,0,6
58108401,"Windham County",1.69,156,1969,1680,NA,0,5
2054872688,"Litchfield County",1.78,156,1930,1638,NA,0,3
57870113,"Middlesex County",1.9,159,1961,1659,NA,0,3
58815055,"Fairfield County",1.69,159,1930,1617,NA,1,9
58890867,"New Haven County",2.13,159,1988,1634,NA,0,8
63074891,"Middlesex County",1.9,159,2003,1596,NA,0,11
57403770,"Fairfield County",1.69,160,1955,1596,NA,0,7
60005944,"Hartford County",2.16,160,1966,1617,NA,0,7
57250495,"Fairfield County",1.69,161,1951,1617,NA,0,11
58834831,"Fairfield County",1.69,161,1946,1617,NA,0,10
69319141,"New Haven County",2.13,161,2005,1617,NA,0,28
174081261,"Hartford County",2.16,161,1987,1634,NA,0,2
311589851,"Litchfield County",1.78,161,1840,1634,NA,0,14
57256098,"Fairfield County",1.69,162,1956,1646,NA,0,9
58808164,"Fairfield County",1.69,162,1930,1638,NA,0,8
