"zpid","county","propertyTaxRate","timeOnZillowDays","yearBuilt","annualHomeownersInsurance","monthlyHoaFee","favoriteCount","pageViewCount"
200404042,"Middlesex County",1.9,5,1930,420,NA,0,12
347056087,"New Haven County",2.13,7,1965,475,810,1,26
57254348,"Fairfield County",1.69,9,1972,462,332,0,20
57735447,"Hartford County",2.16,14,1900,466,NA,0,44
59000609,"Tolland County",2.06,19,1950,462,NA,0,29
345460302,"New Haven County",2.13,20,1958,463,2081,1,34
2056886378,"Middlesex County",1.9,23,1987,483,233,0,20
241163272,"Hartford County",2.16,26,1969,491,327,0,50
61994768,"New London County",1.66,28,1973,491,463,0,18
241157987,"Hartford County",2.16,30,1981,502,250,0,16
57737572,"Hartford County",2.16,33,1910,428,250,0,33
57247564,"Fairfield County",1.69,34,1949,420,NA,0,9
57910660,"New Haven County",2.13,34,1971,479,421,0,17
347397039,"Tolland County",2.06,35,1964,462,276,0,23
59966293,"Hartford County",2.16,36,1955,479,NA,0,29
59296178,"Windham County",1.69,37,1962,458,NA,0,9
57935560,"New Haven County",2.13,41,1971,462,505,0,17
343513883,"Hartford County",2.16,41,1941,428,255,0,11
207181052,"Tolland County",2.06,43,1969,462,302,0,17
57355677,"Fairfield County",1.69,47,1942,420,NA,0,16
58162278,"Hartford County",2.16,49,1860,420,NA,0,15
59295751,"New Haven County",2.13,49,1987,483,146,0,22
58968757,"New London County",1.66,50,1961,436,NA,0,12
57281339,"Fairfield County",1.69,51,1975,462,180,0,28
2053760309,"Fairfield County",1.69,54,1942,491,544,0,31
57254361,"Fairfield County",1.69,56,1972,420,339,1,21
241164570,"Hartford County",2.16,56,1957,496,244,0,13
57809982,"Litchfield County",1.78,58,1983,466,NA,0,14
57735379,"Hartford County",2.16,61,1920,462,330,0,18
57736205,"Hartford County",2.16,61,1988,483,365,0,14
2056894161,"Litchfield County",1.78,61,1983,466,250,0,0
57708776,"Hartford County",2.16,63,1900,424,NA,0,32
57739754,"Hartford County",2.16,63,1900,449,NA,0,26
57334775,"Fairfield County",1.69,69,1868,420,NA,0,5
57906011,"New Haven County",2.13,69,1972,441,247,0,2
241320420,"New Haven County",2.13,70,1966,433,NA,0,5
57736088,"Hartford County",2.16,71,1988,487,365,0,4
147591517,"New London County",1.66,72,1989,500,NA,0,1
241163073,"Hartford County",2.16,72,1959,420,367,0,3
2063599010,"New Haven County",2.13,72,1972,441,276,0,2
57805769,"Litchfield County",1.78,76,1965,483,345,0,2
207181094,"Tolland County",2.06,76,1969,462,NA,0,3
241157994,"Hartford County",2.16,77,1981,502,250,0,3
197770798,"Litchfield County",1.78,78,1900,462,NA,0,24
241180453,"Hartford County",2.16,78,1985,483,NA,0,1
2056879980,"Hartford County",2.16,78,1985,483,206,0,9
59294329,"New Haven County",2.13,79,1987,433,NA,0,3
61996531,"New London County",1.66,82,1935,441,NA,0,9
2054067502,"New Haven County",2.13,85,1967,428,735,0,3
174012675,"Hartford County",2.16,89,1965,462,295,0,8
57247816,"Fairfield County",1.69,90,1949,441,309,0,12
197804376,"Litchfield County",1.78,90,1950,487,NA,0,4
57700402,"Hartford County",2.16,93,1980,483,200,0,4
57733220,"Hartford County",2.16,93,1880,420,NA,0,1
123514350,"Hartford County",2.16,93,1957,428,244,0,0
2126345500,"Fairfield County",1.69,93,1942,483,528,0,35
174050908,"Hartford County",2.16,96,1964,449,168,0,9
58009135,"New Haven County",2.13,97,1929,420,NA,0,0
174186244,"Hartford County",2.16,97,1900,462,NA,0,0
174384777,"New Haven County",2.13,97,1986,483,NA,0,0
57910310,"New Haven County",2.13,98,1963,420,NA,0,0
57731871,"Hartford County",2.16,99,1920,491,NA,0,15
174042223,"Hartford County",2.16,103,1964,441,168,0,10
57254349,"Fairfield County",1.69,105,1972,420,337,0,39
174012690,"Hartford County",2.16,106,1965,462,296,0,4
57239356,"Fairfield County",1.69,110,1972,462,221,0,3
57910620,"New Haven County",2.13,111,1971,462,334,0,2
57910626,"New Haven County",2.13,111,1971,462,NA,0,0
57910651,"New Haven County",2.13,111,1971,462,NA,0,1
57910689,"New Haven County",2.13,111,1971,462,NA,0,0
241323568,"New Haven County",2.13,112,1900,483,NA,0,3
57910294,"New Haven County",2.13,113,1963,439,219,0,5
57926356,"New Haven County",2.13,113,1983,431,200,0,1
69055365,"Hartford County",2.16,113,1965,437,473,0,13
57936541,"New Haven County",2.13,120,1987,462,285,0,27
69055406,"Hartford County",2.16,120,1965,483,571,0,12
58008076,"New Haven County",2.13,128,1979,420,NA,0,2
174000568,"Hartford County",2.16,131,1988,483,253,0,3
241157991,"Hartford County",2.16,131,1981,431,250,0,0
58946532,"New Haven County",2.13,1,1825,630,NA,5,211
58854124,"Middlesex County",1.9,138,1935,483,NA,0,6
57959565,"New Haven County",2.13,141,1990,441,NA,0,6
60104521,"Tolland County",2.06,141,1980,454,NA,0,5
109740440,"Litchfield County",1.78,138,2024,2898,NA,0,30
241156374,"Hartford County",2.16,152,1957,491,349,0,5
59295488,"New Haven County",2.13,155,1989,462,NA,0,3
174384888,"New Haven County",2.13,155,1985,473,NA,0,2
57733584,"Hartford County",2.16,156,1910,420,NA,0,4
58150529,"Hartford County",2.16,156,1988,420,NA,0,4
177228738,"Fairfield County",1.69,156,1928,420,NA,0,0
2054479496,"Middlesex County",1.9,156,1800,449,NA,0,9
58119405,"Windham County",1.69,160,1907,420,NA,1,23
57856173,"Middlesex County",1.9,161,1943,469,NA,0,7
59290035,"Hartford County",2.16,161,1938,462,NA,0,4
241163287,"Hartford County",2.16,161,1969,496,467,0,6
174384880,"New Haven County",2.13,162,1985,473,NA,0,0
57791517,"Hartford County",2.16,167,1912,462,NA,0,3
200398838,"Middlesex County",1.9,167,1986,464,417,0,9
57910318,"New Haven County",2.13,169,1963,420,NA,0,3
61306578,"Hartford County",2.16,169,1940,496,NA,0,8
200402426,"Middlesex County",1.9,169,1963,483,NA,0,9
57816044,"Litchfield County",1.78,173,1850,483,NA,0,12
200403889,"Middlesex County",1.9,99,2024,2940,NA,1,49
59296387,"Windham County",1.69,174,1890,500,NA,0,3
339592005,"New Haven County",2.13,174,1943,473,NA,0,1
64661334,"New Haven County",2.13,175,1932,420,9,0,10
58129662,"Hartford County",2.16,177,1971,462,185,0,9
59296234,"Windham County",1.69,180,1850,420,NA,0,1
57910326,"New Haven County",2.13,181,1963,420,NA,0,5
241158681,"Hartford County",2.16,181,1944,504,255,0,27
57958243,"New Haven County",2.13,182,1983,475,270,0,5
57281817,"Fairfield County",1.69,0.166666666666667,1967,1789,NA,37,431
58131040,"Hartford County",2.16,183,1986,500,200,0,1
58033415,"New Haven County",2.13,184,1981,441,225,0,12
174230469,"Hartford County",2.16,187,1979,420,NA,0,0
57975835,"New Haven County",2.13,189,1940,483,NA,0,4
174384907,"New Haven County",2.13,189,1985,462,NA,0,0
57956805,"New Haven County",2.13,190,1987,441,NA,0,3
200400776,"Middlesex County",1.9,191,2012,475,NA,0,4
197793431,"Litchfield County",1.78,194,1960,420,NA,0,9
57690638,"Hartford County",2.16,195,1971,483,292,0,7
58108134,"Windham County",1.69,195,1950,420,NA,0,1
59281163,"Hartford County",2.16,197,1950,420,NA,0,2
109727692,"Hartford County",2.16,203,2024,420,NA,1,12
57822581,"Litchfield County",1.78,1,1942,756,NA,17,451
147580024,"New London County",1.66,204,1968,470,375,0,4
57390858,"Fairfield County",1.69,208,1972,462,252,0,11
60100292,"New Haven County",2.13,208,1986,483,NA,0,0
200404290,"Middlesex County",1.9,208,1981,462,273,0,6
57281378,"Fairfield County",1.69,211,1975,500,250,0,14
57934933,"New Haven County",2.13,211,1971,462,NA,0,2
58095199,"Tolland County",2.06,211,1985,491,NA,0,0
59080613,"Hartford County",2.16,56,1968,1407,NA,80,1830
57915357,"New Haven County",2.13,219,1988,470,NA,0,0
57868915,"Middlesex County",1.9,222,1987,466,146,0,3
58020382,"New Haven County",2.13,222,1947,445,NA,0,0
2097739144,"New Haven County",2.13,222,1988,470,190,0,3
57972657,"New Haven County",2.13,224,1940,483,NA,0,11
174148602,"Hartford County",2.16,224,1900,441,NA,0,8
57973737,"New Haven County",2.13,225,1963,462,250,0,4
157579998,"New London County",1.66,225,1950,462,NA,0,10
57836929,"Litchfield County",1.78,226,1875,462,NA,0,6
57401832,"Fairfield County",1.69,229,1964,473,NA,0,1
58115115,"Windham County",1.69,229,1940,458,NA,0,7
2057195280,"New Haven County",2.13,229,1967,487,520,0,14
57926810,"New Haven County",2.13,66,1890,1008,NA,58,1626
2069591123,"New London County",1.66,230,1973,466,463,0,1
57908163,"New Haven County",2.13,231,1946,483,NA,0,8
197795283,"Litchfield County",1.78,231,1987,462,189,0,4
2055719365,"Middlesex County",1.9,233,1973,479,420,0,2
62541311,"Hartford County",2.16,238,1969,437,288,0,3
2057404522,"Hartford County",2.16,238,1968,462,359,0,0
57962057,"New Haven County",2.13,243,1987,483,NA,0,5
61993448,"New London County",1.66,243,1987,466,175,0,0
2097342350,"Hartford County",2.16,243,1988,449,340,0,1
57962065,"New Haven County",2.13,244,1988,441,350,0,0
58009482,"New Haven County",2.13,244,1927,420,NA,0,0
59014306,"Hartford County",2.16,244,1924,483,NA,0,6
59296332,"Windham County",1.69,244,1910,466,NA,0,4
57708499,"Hartford County",2.16,246,1985,466,272,0,3
57875037,"Middlesex County",1.9,250,1970,462,NA,0,2
57920419,"New Haven County",2.13,250,1984,483,171,0,3
58975351,"New London County",1.66,250,1920,463,NA,0,2
59974626,"Tolland County",2.06,250,1989,420,NA,0,2
57852330,"Middlesex County",1.9,254,1980,470,NA,0,1
147591488,"New London County",1.66,254,1989,428,358,0,3
57932581,"New Haven County",2.13,257,2016,420,NA,0,5
57937040,"New Haven County",2.13,257,1989,420,264,0,4
241223287,"Hartford County",2.16,257,1971,483,247,0,1
2133846910,"Hartford County",2.16,257,1971,483,NA,0,12
57815757,"Litchfield County",1.78,259,1900,441,NA,0,2
59295981,"New Haven County",2.13,259,1985,441,NA,0,6
2103612901,"Hartford County",2.16,259,1939,462,438,0,5
57740370,"Hartford County",2.16,260,1910,420,NA,0,4
57865673,"Middlesex County",1.9,261,1984,434,151,0,0
59285423,"Hartford County",2.16,261,1987,462,220,2,10
69055434,"Hartford County",2.16,261,1965,420,NA,0,1
174084114,"Hartford County",2.16,261,1986,420,NA,0,0
2056358857,"New Haven County",2.13,264,1968,483,780,0,5
58142007,"Hartford County",2.16,265,1988,470,370,0,4
57962062,"New Haven County",2.13,267,1988,433,NA,0,0
200427097,"Middlesex County",1.9,268,1987,466,NA,0,0
207170984,"Tolland County",2.06,268,1964,424,NA,0,1
2056880470,"New Haven County",2.13,268,1988,433,350,0,5
2056980098,"New Haven County",2.13,271,1960,502,338,0,2
2076689961,"Middlesex County",1.9,271,1987,466,287,0,1
2079153251,"Tolland County",2.06,272,1964,424,300,0,2
57745482,"Hartford County",2.16,275,1929,437,NA,0,1
241206341,"Hartford County",2.16,275,NA,479,NA,0,0
58150599,"Hartford County",2.16,278,1985,479,211,0,1
59048786,"Hartford County",2.16,278,1967,441,455,0,5
2092687684,"Litchfield County",1.78,278,NA,475,NA,0,2
60101345,"New Haven County",2.13,280,1988,441,NA,0,0
339585808,"New Haven County",2.13,280,1947,462,NA,0,1
58926714,"New Haven County",2.13,281,1947,462,NA,0,7
59968859,"New Haven County",2.13,281,1960,445,NA,0,0
2057482831,"New Haven County",2.13,281,1982,496,196,0,6
2056220678,"New Haven County",2.13,285,1960,445,283,0,0
57867197,"Middlesex County",1.9,287,1987,462,230,0,0
177116379,"Fairfield County",1.69,287,1980,420,NA,0,0
57863000,"Middlesex County",1.9,288,1987,477,NA,0,1
58006979,"New Haven County",2.13,288,1925,420,NA,0,9
174040738,"Hartford County",2.16,292,1986,496,NA,0,0
2056880047,"New Haven County",2.13,292,1960,441,283,0,1
58910169,"New Haven County",2.13,293,1973,420,NA,0,4
241206324,"Hartford County",2.16,293,NA,470,NA,0,0
57959683,"New Haven County",2.13,294,1948,420,NA,0,3
58869675,"Litchfield County",1.78,294,1967,503,NA,0,2
2056881234,"New Haven County",2.13,294,1982,483,113,0,1
207184725,"Tolland County",2.06,296,1981,420,181,0,5
57910649,"New Haven County",2.13,299,1971,462,418,0,2
57916489,"New Haven County",2.13,299,1961,462,NA,0,4
57258566,"Fairfield County",1.69,300,1986,483,NA,0,3
59289153,"Hartford County",2.16,301,1968,483,NA,0,1
241163335,"Hartford County",2.16,301,1969,470,NA,0,1
197775923,"Litchfield County",1.78,302,1973,483,224,0,4
2063619372,"Hartford County",2.16,302,1968,496,270,0,4
57933617,"New Haven County",2.13,306,1895,420,NA,0,10
58089821,"New London County",1.66,306,1987,487,204,0,12
241198113,"Hartford County",2.16,308,1965,483,NA,0,0
59295962,"New Haven County",2.13,309,1985,428,NA,0,0
207171018,"Tolland County",2.06,310,1964,454,294,0,3
2058248051,"New Haven County",2.13,310,1958,485,NA,0,15
58860965,"Litchfield County",1.78,313,1949,420,NA,0,10
60100935,"New Haven County",2.13,313,1983,462,313,0,1
200425027,"Middlesex County",1.9,313,1900,441,NA,0,6
58977392,"New London County",1.66,314,1917,458,NA,0,2
58030164,"New Haven County",2.13,316,1971,462,388,0,8
57386210,"Fairfield County",1.69,317,1934,420,NA,0,3
57735992,"Hartford County",2.16,317,1880,420,NA,0,8
57736049,"Hartford County",2.16,317,1910,447,243,0,2
57899495,"New Haven County",2.13,317,1900,477,NA,0,3
58141198,"Hartford County",2.16,320,1902,483,360,0,6
109730778,"Hartford County",2.16,29,2024,4620,25,139,2900
58954578,"New Haven County",2.13,322,1961,420,NA,1,8
174045482,"Hartford County",2.16,322,1970,483,275,0,2
197790414,"Litchfield County",1.78,322,1987,483,276,0,2
174042227,"Hartford County",2.16,324,1964,420,168,0,1
57942963,"New Haven County",2.13,329,1970,420,NA,0,0
60100787,"New Haven County",2.13,329,1985,462,320,0,0
60100788,"New Haven County",2.13,329,1985,462,320,0,1
207184284,"Tolland County",2.06,330,1988,500,250,0,7
241223313,"Hartford County",2.16,330,1971,462,337,0,40
174040900,"Hartford County",2.16,331,1874,420,NA,0,2
59076892,"Hartford County",2.16,334,1969,441,360,0,3
2116206991,"New Haven County",0,334,1958,420,1508,0,6
58055081,"New London County",1.66,336,1955,462,NA,0,3
241163292,"Hartford County",2.16,336,1969,500,369,0,3
57937036,"New Haven County",2.13,337,1989,462,250,0,4
299912628,"Hartford County",2.16,338,1941,483,NA,0,1
58093193,"New London County",1.66,342,1900,420,NA,0,1
61992801,"New London County",1.66,345,1986,441,232,0,3
57967451,"New Haven County",2.13,348,1920,486,NA,1,5
57849812,"Middlesex County",1.9,350,1969,462,272,0,0
61308707,"Hartford County",2.16,351,1960,462,NA,0,1
207181056,"Tolland County",2.06,351,1969,462,NA,0,1
57739236,"Hartford County",2.16,352,1910,420,NA,0,8
58050182,"New London County",1.66,355,1850,494,NA,0,2
57387517,"Fairfield County",1.69,356,1972,496,NA,0,3
58890368,"New Haven County",2.13,356,1962,441,NA,0,1
57970746,"New Haven County",2.13,358,1942,423,416,0,0
57949197,"New Haven County",2.13,362,1988,483,NA,0,4
174037078,"Hartford County",2.16,362,1968,483,NA,0,0
174045483,"Hartford County",2.16,362,1970,441,275,0,1
60100295,"New Haven County",2.13,363,1986,441,NA,0,3
174435566,"New Haven County",2.13,364,1951,454,NA,0,1
57733469,"Hartford County",2.16,366,1985,462,NA,0,12
58122562,"Windham County",1.69,366,1966,460,NA,0,0
57922225,"New Haven County",2.13,369,1953,441,NA,0,1
59971958,"New London County",1.66,369,1966,437,285,0,0
2058072195,"New Haven County",2.13,369,1989,475,211,9,180
57703847,"Hartford County",2.16,370,1972,473,253,0,2
57237789,"Fairfield County",1.69,371,1979,470,304,0,3
241158841,"Hartford County",2.16,371,1944,423,NA,0,0
57928652,"New Haven County",2.13,372,1985,420,NA,0,2
58823910,"Fairfield County",1.69,372,1930,445,NA,0,10
2109272230,"Hartford County",2.16,372,1944,466,255,0,14
59293257,"New Haven County",2.13,373,1987,462,145,0,3
2058840060,"Hartford County",2.16,376,1972,462,208,0,2
58102835,"Tolland County",2.06,377,1950,420,NA,0,0
174051794,"Hartford County",2.16,377,1986,496,250,0,0
112794786,"Middlesex County",1.9,378,2019,483,33,3,17
57736202,"Hartford County",2.16,379,1988,494,370,0,5
60107890,"Tolland County",2.06,379,1973,483,NA,0,4
174166690,"Hartford County",2.16,379,1944,423,NA,0,0
58030301,"New Haven County",2.13,385,1970,424,342,0,10
58030320,"New Haven County",2.13,390,1970,441,342,0,1
61992344,"New London County",1.66,390,1959,420,NA,0,3
57704094,"Hartford County",2.16,393,1988,441,230,0,4
58008804,"New Haven County",2.13,393,1951,420,NA,0,0
57810041,"Litchfield County",1.78,394,1969,452,NA,0,0
174067555,"Hartford County",2.16,394,1974,440,NA,0,12
2058220254,"Hartford County",2.16,394,1969,449,300,0,3
89029754,"New Haven County",2.13,397,2008,470,271,0,6
197775985,"Litchfield County",1.78,398,1973,491,NA,0,2
147591500,"New London County",1.66,400,1989,470,297,0,0
58929876,"New Haven County",2.13,401,1875,456,NA,0,0
299800109,"Hartford County",2.16,8,2023,2653,NA,23,402
57700923,"Hartford County",2.16,408,1981,483,185,0,0
197796397,"Litchfield County",1.78,408,1985,500,NA,0,2
210140260,"Windham County",1.69,411,1850,420,NA,0,2
58992004,"Tolland County",2.06,412,1900,420,NA,0,0
2059488889,"Fairfield County",0,412,1941,462,528,1,18
58089397,"New London County",1.66,82,2024,2226,NA,16,675
58057076,"New London County",1.66,414,1942,489,NA,0,0
2093259553,"Middlesex County",1.9,414,1968,500,825,0,3
109755631,"New London County",1.66,175,2024,4179,17,0,30
174432455,"New Haven County",2.13,415,1875,449,NA,0,2
57862869,"Middlesex County",1.9,419,1986,468,300,0,7
57731697,"Hartford County",2.16,421,1985,433,220,0,2
57808255,"Litchfield County",1.78,421,1969,483,NA,0,1
174069783,"Hartford County",2.16,422,1950,420,NA,0,21
174078734,"Hartford County",2.16,422,1950,420,NA,0,1
72299942,"Hartford County",2.16,425,1979,449,NA,0,6
57805388,"Litchfield County",1.78,427,1969,479,NA,0,1
57864648,"Middlesex County",1.9,429,1987,441,NA,0,1
2091300209,"New Haven County",2.13,432,1984,420,250,0,6
60100908,"New Haven County",2.13,433,1984,443,313,0,3
60101420,"New Haven County",2.13,433,1984,420,17,0,0
57837081,"Litchfield County",1.78,434,1900,441,NA,0,0
174097069,"Hartford County",2.16,434,1978,420,270,0,20
57792994,"Hartford County",2.16,435,1951,454,NA,0,3
59289608,"Hartford County",2.16,435,1964,462,427,0,19
57900638,"New Haven County",2.13,436,1900,441,NA,0,6
57920027,"New Haven County",2.13,440,1985,470,406,0,2
57919352,"New Haven County",2.13,441,1982,475,NA,0,2
57736218,"Hartford County",2.16,442,1988,433,400,0,4
197804833,"Litchfield County",1.78,442,1987,470,243,0,0
2060529430,"New Haven County",2.13,442,1968,462,872,0,3
58931775,"New Haven County",2.13,443,1969,462,NA,0,1
58141742,"Hartford County",2.16,446,1965,454,NA,0,0
2059468233,"New Haven County",2.13,446,1960,420,269,0,1
72303102,"Hartford County",2.16,448,1979,452,NA,0,0
58056897,"New London County",1.66,450,1942,441,NA,0,0
58057050,"New London County",1.66,450,1942,483,NA,0,1
197797129,"Litchfield County",1.78,452,1987,487,300,0,5
57968923,"New Haven County",2.13,453,1910,483,NA,0,4
57732418,"Hartford County",2.16,454,1920,420,NA,0,0
82408722,"New Haven County",2.13,454,2007,462,130,0,1
57843704,"Middlesex County",1.9,455,1965,462,NA,0,1
57742591,"Hartford County",2.16,457,1987,462,210,0,6
57926613,"New Haven County",2.13,457,1971,441,NA,0,0
58964148,"New London County",1.66,457,1972,420,300,0,2
57734667,"Hartford County",2.16,460,1963,481,847,0,2
58070031,"New London County",1.66,460,1988,462,356,0,0
58128957,"Hartford County",2.16,460,1981,420,NA,0,1
207181047,"Tolland County",2.06,460,1969,433,334,0,1
241226724,"Hartford County",2.16,460,1964,483,333,0,1
60106519,"Tolland County",2.06,461,1980,483,NA,0,1
2060008227,"Hartford County",2.16,461,1981,420,185,0,0
2063615229,"Fairfield County",0,461,1918,441,411,0,0
60103334,"Tolland County",2.06,463,1980,483,176,0,6
57240933,"Fairfield County",1.69,464,1972,420,NA,0,0
57387083,"Fairfield County",1.69,464,1981,462,400,0,1
58000185,"New Haven County",2.13,464,1960,452,NA,0,5
57866523,"Middlesex County",1.9,467,1980,483,160,0,3
58855335,"Middlesex County",1.9,467,1935,420,NA,0,23
174038059,"Hartford County",2.16,467,1991,420,NA,0,20
174408241,"New Haven County",2.13,467,1987,491,260,0,1
2061932354,"Fairfield County",0,467,1918,441,507,0,4
58906667,"New Haven County",2.13,469,1916,420,NA,0,2
2136343584,"Hartford County",2.16,469,1969,466,230,0,2
59066555,"Hartford County",2.16,470,1959,420,NA,0,5
174038772,"Hartford County",2.16,471,1913,450,NA,0,10
2060742049,"Fairfield County",0,471,1917,483,420,0,0
57247934,"Fairfield County",1.69,474,1949,483,NA,0,1
57935236,"New Haven County",2.13,474,1900,462,NA,0,2
60110085,"Tolland County",2.06,474,1980,468,252,0,5
2060621026,"New Haven County",2.13,474,1964,494,735,0,0
2060390202,"Hartford County",2.16,475,1965,427,1233,0,3
174254369,"New Haven County",2.13,9,1964,695,NA,3,150
177121365,"Fairfield County",1.69,476,1975,496,180,0,3
58972591,"New London County",1.66,477,1967,496,288,0,0
60103540,"Tolland County",2.06,477,1890,462,245,0,0
197779726,"Litchfield County",1.78,477,1969,462,NA,0,1
58002111,"New Haven County",2.13,481,1900,462,NA,0,0
57806440,"Litchfield County",1.78,483,1970,462,NA,0,2
58160802,"Hartford County",2.16,483,1971,483,NA,0,0
57881883,"New Haven County",2.13,484,1940,441,NA,0,6
197790034,"Litchfield County",1.78,484,1925,448,NA,0,0
174045776,"Hartford County",2.16,485,1965,445,230,0,13
197800251,"Litchfield County",1.78,485,1920,483,NA,0,1
58972629,"New London County",1.66,488,1967,462,382,0,1
174294995,"New Haven County",2.13,488,1987,462,285,0,0
2063618097,"New London County",1.66,488,1973,462,407,0,2
2063619464,"New Haven County",2.13,489,1987,462,18,0,0
59289377,"Hartford County",2.16,491,1968,462,NA,0,0
2060388828,"Litchfield County",1.78,491,1970,462,280,0,0
57795667,"Litchfield County",1.78,495,1950,462,20,0,6
57936042,"New Haven County",2.13,495,1985,470,368,0,4
174062279,"Hartford County",2.16,495,1890,420,NA,0,0
174408240,"New Haven County",2.13,495,1987,462,225,0,0
2117492584,"Hartford County",2.16,495,1968,462,359,0,1
57734720,"Hartford County",2.16,496,1963,441,779,0,3
57865877,"Middlesex County",1.9,496,1987,449,NA,0,2
2124083832,"Fairfield County",1.69,496,1918,470,411,0,8
57697006,"Hartford County",2.16,498,1968,470,261,0,0
57736083,"Hartford County",2.16,498,1988,470,265,0,0
57863390,"Middlesex County",1.9,498,1987,466,NA,0,0
58998503,"Tolland County",2.06,498,1975,470,NA,0,2
60100830,"New Haven County",2.13,498,1974,483,503,0,7
109731136,"Litchfield County",1.78,498,2017,420,NA,0,6
197794563,"Litchfield County",1.78,498,1986,441,205,0,0
57736333,"Hartford County",2.16,499,1969,462,NA,0,0
57736408,"Hartford County",2.16,499,1969,462,362,0,3
197796941,"Litchfield County",1.78,499,1942,491,NA,0,0
241163212,"Hartford County",2.16,499,1969,426,NA,0,0
2061444354,"Middlesex County",1.9,499,1987,449,299,0,2
59293422,"New Haven County",2.13,502,1984,449,203,0,0
68548056,"New Haven County",2.13,502,1875,420,NA,0,4
174012716,"Hartford County",2.16,502,1965,466,295,0,0
174422176,"New Haven County",2.13,502,1970,470,190,0,0
2060349756,"Middlesex County",1.9,502,1987,466,201,0,2
2107520840,"Hartford County",2.16,502,1965,466,NA,0,31
57277406,"Fairfield County",1.69,503,1987,487,NA,0,1
57713531,"Hartford County",2.16,504,1969,441,220,0,0
174056366,"Hartford County",2.16,505,1967,441,NA,0,1
57818872,"Litchfield County",1.78,506,1840,462,NA,0,2
174372548,"New Haven County",2.13,506,1988,483,201,0,2
174422104,"New Haven County",2.13,506,1961,483,NA,0,0
174042153,"Hartford County",2.16,17,1957,1365,NA,129,1192
174422157,"New Haven County",2.13,510,1961,483,NA,0,0
207173048,"Tolland County",2.06,510,1880,494,330,0,2
57832700,"Litchfield County",1.78,511,1965,441,NA,0,2
57736913,"Hartford County",2.16,512,1860,420,NA,0,1
207170969,"Tolland County",2.06,512,1964,428,258,0,0
57250639,"Fairfield County",1.69,516,1971,449,229,0,0
58104506,"Tolland County",2.06,516,1927,428,NA,0,2
58922433,"New Haven County",2.13,516,1963,441,NA,0,4
197795776,"Litchfield County",1.78,516,1799,450,NA,0,8
2060929620,"Hartford County",2.16,516,1860,420,509,0,2
59054750,"Hartford County",2.16,517,1886,483,NA,0,1
177077941,"Fairfield County",1.69,517,1964,483,477,0,1
58972094,"New London County",1.66,518,1968,441,260,0,4
241159471,"Hartford County",2.16,518,1981,491,247,0,0
2136530003,"Hartford County",2.16,518,1981,491,NA,0,0
197803924,"Litchfield County",1.78,519,1951,420,NA,0,2
2084596057,"Hartford County",2.16,520,1988,462,250,0,2
57239372,"Fairfield County",1.69,523,1972,441,221,0,0
58927465,"New Haven County",2.13,523,1944,470,235,0,5
177077938,"Fairfield County",1.69,523,1964,462,450,0,0
2061857527,"Fairfield County",1.69,523,1949,483,348,0,2
58927923,"New Haven County",2.13,524,1989,462,214,0,2
58112444,"Windham County",1.69,525,1940,473,NA,0,4
58974785,"New London County",1.66,525,1888,420,NA,0,1
174384605,"New Haven County",2.13,525,1987,495,NA,0,0
57387501,"Fairfield County",1.69,526,1972,462,NA,0,1
57902333,"New Haven County",2.13,526,1976,454,NA,0,3
57908436,"New Haven County",2.13,526,1976,454,237,0,17
57869900,"Middlesex County",1.9,530,1985,491,NA,0,0
174099065,"Hartford County",2.16,530,1925,449,NA,0,4
2060717956,"New Haven County",2.13,530,1974,464,208,0,0
57737328,"Hartford County",2.16,531,1951,462,NA,0,2
57913862,"New Haven County",2.13,531,1985,433,264,0,6
58023264,"New Haven County",2.13,531,1957,420,NA,0,1
58972626,"New London County",1.66,531,1967,494,NA,0,0
174081268,"Hartford County",2.16,531,1986,488,NA,0,0
2067936210,"Tolland County",2.06,531,1964,428,266,0,2
174074279,"Hartford County",2.16,532,1974,420,253,0,0
2060740353,"Hartford County",2.16,532,1986,487,295,0,0
57704380,"Hartford County",2.16,533,1989,475,NA,0,3
57959511,"New Haven County",2.13,537,1988,420,323,0,1
57713105,"Hartford County",2.16,538,1955,483,NA,0,2
174035609,"Hartford County",2.16,538,1988,504,280,0,1
58016982,"New Haven County",2.13,539,1929,449,NA,0,1
58051767,"New London County",1.66,539,1989,441,200,30,572
59285427,"Hartford County",2.16,539,1987,441,245,0,0
59298901,"Windham County",1.69,539,1923,449,NA,0,4
61803793,"Hartford County",2.16,539,1989,462,177,0,2
174076437,"Hartford County",2.16,539,1973,496,NA,0,0
241087889,"Hartford County",2.16,539,1968,462,NA,0,1
57806236,"Litchfield County",1.78,118,2023,2835,17,122,1976
174048496,"Hartford County",2.16,540,1898,483,NA,0,2
61993816,"New London County",1.66,541,1947,424,NA,0,5
174294966,"New Haven County",2.13,541,1987,441,285,0,0
174294994,"New Haven County",2.13,541,1987,441,285,0,0
57397692,"Fairfield County",1.69,544,1976,483,252,0,0
57706491,"Hartford County",2.16,544,1940,420,NA,0,0
57734740,"Hartford County",2.16,544,1963,483,805,0,1
61993032,"New London County",1.66,544,1914,462,NA,0,3
174442616,"New Haven County",2.13,544,1960,420,NA,0,1
299912635,"Hartford County",2.16,544,1941,420,NA,0,0
58067972,"New London County",1.66,134,1976,1676,NA,4,378
59293206,"New Haven County",2.13,545,1986,483,125,0,3
