,,,,,,,,7/17/2024,7/17/2024,7/17/2024,7/17/2024,7/30/2024,,8/27/2024,8/27/2024,8/27/2024,8/27/2024,,USE Revised - new info7/30/2024,USE Revised - new info7/30/2024,USE Revised,projected,8/27/2024
Date,MB30ER,MB3015ER,MB305AER,H15T10Y,FMHPUS-REVISED,SPCSUSS-REVISED,SPCSNYS-REVISED,PHUCTOT,PHUCNE,NHSPSTOT,NHSPSNE,HPIMLEVL,HOWNALL,HPI LEVL,HPI STCT,HPI PURC,HPI NE,HPPRCTPO,SPCSUSS,SPCSNYS,FMHPUS,FANNORIG,HPI YOY%
7/12/2024,,,,4.18,,,,,,,,,,,,,,,,,,484,
7/11/2024,,,,4.2,,,,,,,,,,,,,,,,,,484,
7/10/2024,,,,4.28,,,,,,,,,,,,,,,,,,484,
7/9/2024,,,,4.3,,,,,,,,,,,,,,,,,,484,
7/8/2024,,,,4.28,,,,,,,,,,,,,,,,,,484,
7/7/2024,,,,4.28,,,,,,,,,,,,,,,,,,484,
7/6/2024,,,,4.28,,,,,,,,,,,,,,,,,,484,
7/5/2024,7.17,6.79,6.45,4.28,,,,,,,,,,,,,,,,,,484,
7/4/2024,7.17,6.79,6.45,4.36,,,,,,,,,,,,,,,,,,484,
7/3/2024,7.17,6.79,6.45,4.36,,,,,,,,,,,,,,,,,,484,
7/2/2024,7.17,6.79,6.45,4.43,,,,,,,,,,,,,,,,,,484,
7/1/2024,7.17,6.79,6.45,4.48,,,,,,,,,,,,,,,,,,484,
6/30/2024,7.17,6.79,6.45,4.36,,,,,,,,,,,,,,,,,,453,
6/29/2024,7.17,6.79,6.45,4.36,,,,,,,,,,,,,,,,,,453,
6/28/2024,7.21,6.69,6.58,4.36,,,,,,,,,,,,,,,,,,453,
6/27/2024,7.21,6.69,6.58,4.29,,,,,,,,,,,,,,,,,,453,
6/26/2024,7.21,6.69,6.58,4.32,,,,,,,,,,,,,,,,,,453,
6/25/2024,7.21,6.69,6.58,4.23,,,,,,,,,,,,,,,,,,453,
6/24/2024,7.21,6.69,6.58,4.25,,,,,,,,,,,,,,,,,,453,
6/23/2024,7.21,6.69,6.58,4.25,,,,,,,,,,,,,,,,,,453,
6/22/2024,7.21,6.69,6.58,4.25,,,,,,,,,,,,,,,,,,453,
6/21/2024,7.1,6.64,6.48,4.25,,,,,,,,,,,,,,,,,,453,
6/20/2024,7.1,6.64,6.48,4.25,,,,,,,,,,,,,,,,,,453,
6/19/2024,7.1,6.64,6.48,4.22,,,,,,,,,,,,,,,,,,453,
6/18/2024,7.1,6.64,6.48,4.22,,,,,,,,,,,,,,,,,,453,
6/17/2024,7.1,6.64,6.48,4.28,,,,,,,,,,,,,,,,,,453,
6/16/2024,7.1,6.64,6.48,4.2,,,,,,,,,,,,,,,,,,453,
6/15/2024,7.1,6.64,6.48,4.2,,,,,,,,,,,,,,,,,,453,
6/14/2024,7.12,6.62,6.63,4.2,,,,,,,,,,,,,,,,,,453,
6/13/2024,7.12,6.62,6.63,4.24,,,,,,,,,,,,,,,,,,453,
6/12/2024,7.12,6.62,6.63,4.31,,,,,,,,,,,,,,,,,,453,
6/11/2024,7.12,6.62,6.63,4.39,,,,,,,,,,,,,,,,,,453,
6/10/2024,7.12,6.62,6.63,4.47,,,,,,,,,,,,,,,,,,453,
6/9/2024,7.12,6.62,6.63,4.43,,,,,,,,,,,,,,,,,,453,
6/8/2024,7.12,6.62,6.63,4.43,,,,,,,,,,,,,,,,,,453,
6/7/2024,7.21,6.74,6.75,4.43,,,,,,,,,,,,,,,,,,453,
6/6/2024,7.21,6.74,6.75,4.28,,,,,,,,,,,,,,,,,,453,
6/5/2024,7.21,6.74,6.75,4.29,,,,,,,,,,,,,,,,,,453,
6/4/2024,7.21,6.74,6.75,4.33,,,,,,,,,,,,,,,,,,453,
6/3/2024,7.21,6.74,6.75,4.41,,,,,,,,,,,,,,,,,,453,
6/2/2024,7.21,6.74,6.75,4.51,,,,,,,,,,,,,,,,,,453,
6/1/2024,7.21,6.74,6.75,4.51,,,,,,,,,,,,,,,,,,453,
5/31/2024,7.26,6.91,6.6,4.51,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/30/2024,7.26,6.91,6.6,4.55,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/29/2024,7.26,6.91,6.6,4.61,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/28/2024,7.26,6.91,6.6,4.54,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/27/2024,7.26,6.91,6.6,4.46,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/26/2024,7.26,6.91,6.6,4.46,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/25/2024,7.26,6.91,6.6,4.46,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/24/2024,7.24,6.83,6.92,4.46,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/23/2024,7.24,6.83,6.92,4.47,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/22/2024,7.24,6.83,6.92,4.43,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/21/2024,7.24,6.83,6.92,4.41,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/20/2024,7.24,6.83,6.92,4.44,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/19/2024,7.24,6.83,6.92,4.42,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/18/2024,7.24,6.83,6.92,4.42,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/17/2024,7.18,6.55,6.69,4.42,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/16/2024,7.18,6.55,6.69,4.38,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/15/2024,7.18,6.55,6.69,4.36,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/14/2024,7.18,6.55,6.69,4.45,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/13/2024,7.18,6.55,6.69,4.48,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/12/2024,7.18,6.55,6.69,4.5,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/11/2024,7.18,6.55,6.69,4.5,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/10/2024,7.26,6.77,6.8,4.5,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/9/2024,7.26,6.77,6.8,4.45,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/8/2024,7.26,6.77,6.8,4.48,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/7/2024,7.26,6.77,6.8,4.47,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/6/2024,7.26,6.77,6.8,4.49,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/5/2024,7.26,6.77,6.8,4.5,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/4/2024,7.26,6.77,6.8,4.5,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/3/2024,7.37,6.75,6.84,4.5,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/2/2024,7.37,6.75,6.84,4.58,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/1/2024,7.37,6.75,6.84,4.63,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
4/30/2024,7.37,6.75,6.84,4.69,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/29/2024,7.37,6.75,6.84,4.63,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/28/2024,7.37,6.75,6.84,4.67,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/27/2024,7.37,6.75,6.84,4.67,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/26/2024,7.48,6.9,6.88,4.67,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/25/2024,7.48,6.9,6.88,4.7,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/24/2024,7.48,6.9,6.88,4.65,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/23/2024,7.48,6.9,6.88,4.61,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/22/2024,7.48,6.9,6.88,4.62,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/21/2024,7.48,6.9,6.88,4.62,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/20/2024,7.48,6.9,6.88,4.62,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/19/2024,7.43,6.91,6.96,4.62,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/18/2024,7.43,6.91,6.96,4.64,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/17/2024,7.43,6.91,6.96,4.59,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/16/2024,7.43,6.91,6.96,4.67,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/15/2024,7.43,6.91,6.96,4.63,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/14/2024,7.43,6.91,6.96,4.5,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/13/2024,7.43,6.91,6.96,4.5,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/12/2024,7.32,6.8,6.74,4.5,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/11/2024,7.32,6.8,6.74,4.56,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/10/2024,7.32,6.8,6.74,4.55,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/9/2024,7.32,6.8,6.74,4.36,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/8/2024,7.32,6.8,6.74,4.42,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/7/2024,7.32,6.8,6.74,4.39,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/6/2024,7.32,6.8,6.74,4.39,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/5/2024,7.18,6.61,6.65,4.39,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/4/2024,7.18,6.61,6.65,4.31,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/3/2024,7.18,6.61,6.65,4.36,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/2/2024,7.18,6.61,6.65,4.36,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
4/1/2024,7.18,6.61,6.65,4.33,295.7,319.05,304.61,1652,156,1352,79,424.3,,,,,,,,,296.06,453,
3/31/2024,7.18,6.61,6.65,4.2,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/30/2024,7.18,6.61,6.65,4.2,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/29/2024,7.08,6.49,6.62,4.2,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/28/2024,7.08,6.49,6.62,4.2,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/27/2024,7.08,6.49,6.62,4.2,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/26/2024,7.08,6.49,6.62,4.24,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/25/2024,7.08,6.49,6.62,4.25,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/24/2024,7.08,6.49,6.62,4.22,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/23/2024,7.08,6.49,6.62,4.22,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/22/2024,7.1,6.65,6.51,4.22,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/21/2024,7.1,6.65,6.51,4.27,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/20/2024,7.1,6.65,6.51,4.27,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/19/2024,7.1,6.65,6.51,4.3,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/18/2024,7.1,6.65,6.51,4.34,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/17/2024,7.1,6.65,6.51,4.31,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/16/2024,7.1,6.65,6.51,4.31,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/15/2024,7.16,6.66,6.53,4.31,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/14/2024,7.16,6.66,6.53,4.29,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/13/2024,7.16,6.66,6.53,4.19,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/12/2024,7.16,6.66,6.53,4.16,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/11/2024,7.16,6.66,6.53,4.1,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/10/2024,7.16,6.66,6.53,4.09,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/9/2024,7.16,6.66,6.53,4.09,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/8/2024,7.03,6.57,6.57,4.09,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/7/2024,7.03,6.57,6.57,4.09,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/6/2024,7.03,6.57,6.57,4.11,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/5/2024,7.03,6.57,6.57,4.13,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/4/2024,7.03,6.57,6.57,4.22,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/3/2024,7.03,6.57,6.57,4.19,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/2/2024,7.03,6.57,6.57,4.19,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
3/1/2024,7.22,6.83,6.62,4.19,292.16,318.22,302.24,1491,88,1299,96,423.3,146375,664.58,622.84,415.72,951.3,279.88,318.14,301.54,291.95,331,6.56
2/29/2024,7.22,6.83,6.62,4.25,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/28/2024,7.22,6.83,6.62,4.27,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/27/2024,7.22,6.83,6.62,4.31,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/26/2024,7.22,6.83,6.62,4.28,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/25/2024,7.22,6.83,6.62,4.26,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/24/2024,7.22,6.83,6.62,4.26,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/23/2024,7.23,6.87,6.54,4.26,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/22/2024,7.23,6.87,6.54,4.33,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/21/2024,7.23,6.87,6.54,4.32,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/20/2024,7.23,6.87,6.54,4.27,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/19/2024,7.23,6.87,6.54,4.3,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/18/2024,7.23,6.87,6.54,4.3,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/17/2024,7.23,6.87,6.54,4.3,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/16/2024,7.25,6.81,6.63,4.3,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/15/2024,7.25,6.81,6.63,4.24,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/14/2024,7.25,6.81,6.63,4.27,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/13/2024,7.25,6.81,6.63,4.31,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/12/2024,7.25,6.81,6.63,4.17,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/11/2024,7.25,6.81,6.63,4.17,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/10/2024,7.25,6.81,6.63,4.17,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/9/2024,7.06,6.77,6.52,4.17,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/8/2024,7.06,6.77,6.52,4.15,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/7/2024,7.06,6.77,6.52,4.09,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/6/2024,7.06,6.77,6.52,4.09,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/5/2024,7.06,6.77,6.52,4.17,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/4/2024,7.06,6.77,6.52,4.03,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/3/2024,7.06,6.77,6.52,4.03,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/2/2024,6.97,6.58,6.31,4.03,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
2/1/2024,6.97,6.58,6.31,3.87,288.42,317.26,299.47,1698,124,1546,119,423.1,146375,664.58,622.84,415.72,951.3,279.88,317.19,297.79,288.19,331,6.56
1/31/2024,6.97,6.58,6.31,3.99,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/30/2024,6.97,6.58,6.31,4.06,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/29/2024,6.97,6.58,6.31,4.08,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/28/2024,6.97,6.58,6.31,4.15,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/27/2024,6.97,6.58,6.31,4.15,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/26/2024,6.97,6.47,6.45,4.15,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/25/2024,6.97,6.47,6.45,4.14,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/24/2024,6.97,6.47,6.45,4.18,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/23/2024,6.97,6.47,6.45,4.14,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/22/2024,6.97,6.47,6.45,4.11,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/21/2024,6.97,6.47,6.45,4.15,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/20/2024,6.97,6.47,6.45,4.15,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/19/2024,6.96,6.46,6.41,4.15,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/18/2024,6.96,6.46,6.41,4.14,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/17/2024,6.96,6.46,6.41,4.1,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/16/2024,6.96,6.46,6.41,4.07,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/15/2024,6.96,6.46,6.41,3.96,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/14/2024,6.96,6.46,6.41,3.96,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/13/2024,6.96,6.46,6.41,3.96,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/12/2024,6.94,6.38,6.4,3.96,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/11/2024,6.94,6.38,6.4,3.98,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/10/2024,6.94,6.38,6.4,4.04,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/9/2024,6.94,6.38,6.4,4.02,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/8/2024,6.94,6.38,6.4,4.01,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/7/2024,6.94,6.38,6.4,4.05,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/6/2024,6.94,6.38,6.4,4.05,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/5/2024,6.98,6.55,6.38,4.05,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/4/2024,6.98,6.55,6.38,3.99,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/3/2024,6.98,6.55,6.38,3.91,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/2/2024,6.98,6.55,6.38,3.95,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
1/1/2024,6.98,6.55,6.38,3.88,285.4,315.73,296.47,1504,91,1376,133,417.7,146375,664.58,622.84,415.72,951.3,279.88,315.55,295.26,285.3,331,6.56
12/31/2023,6.98,6.55,6.38,3.88,284.28,314.44,296.22,1557,143,1568,128,418,145967,657.7,621.48,411.37,938.54,277.75,314.38,295.67,284.24,329,6.51
12/30/2023,6.98,6.55,6.38,3.88,284.28,314.44,296.22,1557,143,1568,128,418,145967,657.7,621.48,411.37,938.54,277.75,314.38,295.67,284.24,329,6.51
